 Tesla Model S  2017 37500 1074750 
 Tesla Model S 85D 2015 35999 1021652 
 Tesla Model S Performance 2017 64900 1841862 
 Tesla Model X  2017 57000 1612530 
 Tesla Model S S85 2014 30888 876910 
 Tesla Model 3 LR DM Performance 2019 49888 1416819 
 Tesla Model 3 Dual Motor 2018 41500 1177770 
 Tesla Model S 75 2016 35500 1011040 
 Tesla Model X 100D 2018 80900 2297560 
 Tesla Model X P100D Performance EU 2020 117746 3344000 
